IN_Ta_Muis,IN_Tx_Muis,IN_Tn_Muis,IN_Ra_Muis,IN_Ta_Quin,IN_Tx_Quin,IN_Tn_Quin,IN_Ra_Quin,IN_Ta_Pvie,IN_Tx_Pvie,IN_Tn_Pvie,IN_Ra_Pvie,IN_Ta_Chon,IN_Tx_Chon,IN_Tn_Chon,IN_Ra_Chon,IN_Ta_Calc,IN_Tx_Calc,IN_Tn_Calc,IN_Ra_Calc,IN_Ta_Guag,IN_Tx_Guag,IN_Tn_Guag,IN_Ra_Guag,IN_Ta_Mila,IN_Tx_Mila,IN_Tn_Mila,IN_Ra_Mila,IN_Ta_Scru,IN_Tx_Scru,IN_Tn_Scru,IN_Ra_Scru,IN_Ta_Scri,IN_Tx_Scri,IN_Tn_Scri,IN_Ra_Scri,IN_Ta_Taba,IN_Tx_Taba,IN_Tn_Taba,IN_Ra_Taba,IN_Ta_Quit,IN_Tx_Quit,IN_Tn_Quit,IN_Ra_Quit,IN_Ta_Papa,IN_Tx_Papa,IN_Tn_Papa,IN_Ra_Papa,IN_Ta_Izob,IN_Tx_Izob,IN_Tn_Izob,IN_Ra_Izob,IN_Ta_Sier,IN_Tx_Sier,IN_Tn_Sier,IN_Ra_Sier,IN_Ta_Lumb,IN_Tn_Lumb,IN_Tx_Lumb,IN_Ra_Lumb,IN_Ta_Yasu,IN_Tn_Yasu,IN_Tx_Yasu,IN_Ra_Yasu,IN_Ta_Glqz,IN_Tm_Glqz,IN_Tx_Glqz,IN_Ra_Glqz,IN_Ta_Puyo,IN_Tn_Puyo,IN_Tx_Puyo,IN_Ra_Puyo,IN_Ta_Maca,IN_Tn_Maca,IN_Tx_Maca,IN_Ra_Maca,IN_Ta_Sang,IN_Tn_Sang,IN_Tx_Sang,IN_Ra_Sang,IN_Ta_Tena,IN_Tn_Tena,IN_Tx_Tena,IN_Ra_Tena,IN_Ta_Yanz,IN_Tn_Yanz,IN_Tx_Yanz,IN_Ra_Yanz,WC_Tx_Muis,WC_Tn_Muis,WC_Ra_Muis,WC_Tx_Quin,WC_Tn_Quin,WC_Ra_Quin,WC_Tx_Pvie,WC_Tn_Pvie,WC_Ra_Pvie,WC_Tx_Chon,WC_Tn_Chon,WC_Ra_Chon,WC_Tx_Calc,WC_Tn_Calc,WC_Ra_Calc,WC_Tx_Guaq,WC_Tn_Guaq,WC_Ra_Guaq,WC_Tx_Mila,WC_Tn_Mila,WC_Ra_Mila,WC_Tx_Scru,WC_Tn_Scru,WC_Ra_Scru,WC_Tx_Scri,WC_Tn_Scri,WC_Ra_Scri,WC_Tn_Taba,WC_Tx_Taba,WC_Ra_Taba,WC_Tn_Quit,WC_Tx_Quit,WC_Ra_Quit,WC_Tn_Papa,WC_Tx_Papa,WC_Ra_Papa,WC_Tn_Izob,WC_Tx_Izob,WC_Ra_Izob,WC_Tn_Sier,WC_Tx_Sier,WC_Ra_Sier,WC_Tn_Lumb,WC_Tx_Lumb,WC_Ra_Lumb,WC_Tn_Yasu,WC_Tx_Yasu,WC_Ra_Yasu,WC_Tn_Glqz,WC_Tx_Glqz,WC_Ra_Glqz,WC_Tn_Tena,WC_Tx_Tena,WC_Ra_Tena,WC_Tn_Maca,WC_Tx_Maca,WC_Ra_Maca,WC_Tn_Sang,WC_Tx_Sang,WC_Ra_Sang,WC_Tn_Puyo,WC_Tx_Puyo,WC_Ra_Puyo,WC_Tn_Yanz,WC_Tx_Yanz,WC_Ra_Yanz,date,ONI,"ElNino Index 1,2_temp","ElNino Index 1,2_annomaly"
25.125793,27.936073,22.542627,233.20175,25.227339,29.997404,20.80293,158.71965,25.736969,31.48561,21.61684,66.81284,25.404829,30.643452,22.084732,165.58574,25.70098,30.677383,21.753078,86.90693,26.162125,31.246553,23.125538,144.49965,25.997343,30.26473,21.750175,214.60197,24.15148,26.73625,21.207554,21.384819,24.279383,28.589317,21.121937,13.365503,14.779848,21.545443,9.233838,56.778713,14.50886,20.96423,9.781906,94.21703,10.474805,15.843534,5.276469,62.22195,11.894421,17.938187,6.162795,120.059715,14.27031,19.067226,10.488169,245.37985,23.350565,19.195395,28.633444,394.08365,25.811203,21.581415,31.542593,198.20866,23.122765,17.553898,28.872692,112.06553,21.123568,16.937008,25.961023,381.01907,20.409876,15.598512,25.660679,183.30049,21.30912,14.938991,27.09598,338.7902,23.880083,18.814426,28.65951,230.28615,22.800728,18.552675,28.389818,140.84035,29.0,22.0,234.3,29.0,21.0,315.8,31.0,21.0,67.0,30.25,21.0,191.04999,31.0,21.0,143.0,30.0,22.0,176.3,30.0,21.0,222.0,28.0,19.0,10.5,28.0,21.0,13.800001,9.0,22.0,54.5,8.0,20.0,81.3,3.0,14.0,93.5,5.0,18.0,114.3,9.0,21.0,85.1,19.0,29.0,202.8,21.0,32.0,159.3,17.0,27.0,90.9,18.0,29.0,259.1,16.0,26.0,153.9,17.0,27.0,268.2,17.0,26.0,275.1,18.0,29.0,114.0,01-Jan-1960,-0.1,24.23,-0.33
25.477129,28.696081,22.521957,228.7191,25.397911,30.051668,21.022087,198.88876,26.062366,31.827793,21.779474,64.40941,25.740366,31.029758,22.15406,152.14178,25.864468,31.110806,21.981657,93.49565,26.38627,31.135754,23.630417,195.35876,26.183064,30.4114,22.290714,224.7486,25.548393,28.216381,21.97905,29.51765,24.974258,29.81625,21.699957,15.623041,14.709019,21.398422,9.296202,63.92322,14.310549,20.565727,9.739806,112.31341,10.686951,16.044956,5.361384,69.67703,11.747928,17.632214,6.279369,140.7847,14.262155,18.970837,10.472003,218.96397,23.314754,19.145895,28.735617,440.36777,25.85288,21.826532,31.365208,192.04074,23.231785,17.684607,28.735413,125.037155,21.080513,17.037624,25.865765,382.86874,20.40173,15.589701,25.79352,180.53769,21.434637,15.26296,26.996521,352.7925,23.852474,19.014793,28.53681,272.424,23.033358,18.650888,28.438944,153.20593,30.0,22.0,193.1,30.0,21.0,249.90001,30.0,22.0,72.2,30.25,21.0,187.58,31.0,21.0,138.1,30.0,22.0,156.7,30.0,22.0,197.3,29.0,21.0,5.799999,30.0,22.0,9.1,9.0,21.0,69.8,8.0,20.0,97.2,3.0,14.0,83.5,5.0,17.0,113.7,9.0,20.0,103.5,19.0,29.0,209.5,21.0,31.0,181.6,17.0,27.0,83.7,18.0,28.0,225.59999,16.0,26.0,128.5,17.0,26.0,239.8,16.0,26.0,247.39998,19.0,29.0,113.0,01-Feb-1960,-0.1,25.68,-0.42
25.824316,29.000319,22.653921,283.07367,25.611084,30.212246,21.20505,282.3884,26.20189,31.795544,22.01797,98.85904,26.056847,31.427006,22.34033,187.7289,26.099064,31.250757,22.396048,139.6352,26.553572,31.271633,23.76419,271.82886,26.524263,30.734146,22.641142,328.30457,26.042017,29.445917,22.193172,22.097885,25.444508,30.487661,21.854534,38.052177,14.670587,21.250427,9.270279,74.50671,14.332912,20.41589,9.8932295,151.1628,10.77383,16.007826,5.1591854,76.63385,11.65554,17.465378,6.367843,173.03026,14.192178,18.867195,10.09205,214.86418,23.351545,19.237991,28.837372,481.49673,25.787497,21.894594,31.219145,212.16708,23.234324,17.965206,28.424429,141.83182,21.032675,16.890213,25.974628,420.36966,20.465403,15.767487,26.134985,206.39401,21.539528,15.721167,27.309809,366.27826,23.913004,18.958593,28.651556,318.03375,23.06631,18.7694,28.5868,189.60532,30.0,22.0,231.0,30.0,21.0,402.8,31.0,22.0,112.700005,31.0,21.0,290.0,32.0,21.0,228.4,31.0,22.0,227.79999,31.0,22.0,292.5,30.0,21.0,14.3,31.0,22.0,30.199999,8.0,21.0,92.0,8.0,20.0,128.9,3.0,14.0,109.4,5.0,17.0,146.0,9.0,20.0,150.6,18.0,29.0,266.1,21.0,31.0,239.5,17.0,27.0,130.1,18.0,29.0,370.2,16.0,26.0,219.1,17.0,27.0,369.9,16.0,26.0,385.5,19.0,29.0,129.7,01-Mar-1960,-0.1,26.24,-0.25
25.823046,28.826574,22.572054,207.69852,25.718328,30.370304,21.453959,162.95091,25.942526,31.836191,21.436617,44.170418,25.73399,31.135191,22.104471,113.5212,26.01789,31.52263,22.046362,51.700367,26.50203,31.601694,23.545527,154.02129,26.538643,30.683653,22.364014,178.12256,26.440279,29.9677,22.27184,22.88085,25.017471,30.170498,21.403452,7.254896,14.716203,21.105934,9.278175,65.87991,14.330991,20.322361,9.67219,142.22444,10.637126,15.973786,5.161613,105.5518,11.72809,17.441496,6.208222,168.16145,14.053052,18.652012,9.800768,226.49268,23.284437,19.217915,28.73754,463.48767,25.414513,22.016144,30.71408,265.6945,22.90622,18.044996,28.16135,180.3808,20.874228,16.881666,25.754517,468.0266,20.553406,15.920595,26.168983,197.8017,21.558817,15.951734,27.450056,390.1933,23.832067,18.933317,28.406466,364.5422,23.112242,18.667963,28.60546,200.68878,30.0,22.0,141.8,30.0,21.0,236.2,31.0,21.0,46.8,31.0,21.0,127.33,32.0,21.0,91.0,31.0,22.0,138.3,31.0,21.0,172.7,28.0,20.0,1.1000003,29.0,21.0,0.49999803,9.0,21.0,75.700005,8.0,20.0,106.7,3.0,13.0,81.3,5.0,17.0,111.6,9.0,20.0,157.1,18.0,29.0,250.9,20.0,30.0,274.9,17.0,27.0,194.7,18.0,28.0,333.4,15.0,25.0,188.7,16.0,26.0,321.7,16.0,26.0,344.6,18.0,29.0,205.6,01-Apr-1960,0.0,24.43,-1.11
25.369778,28.237818,22.538921,133.9271,25.570932,30.075085,21.567951,73.58643,25.294321,31.1618,20.938665,12.108621,25.217653,30.258032,21.808468,59.155262,25.647532,30.92495,21.709105,5.665512,25.739483,31.15247,22.680925,75.4514,25.662195,29.651358,21.363785,70.40374,25.763731,28.796417,22.085878,21.65136,24.249914,28.921436,20.937153,4.4951115,14.7688675,21.27449,9.325321,47.23233,14.388103,20.165995,9.557,104.24074,10.493472,16.389502,5.1124644,121.56513,11.742324,17.348452,6.01794,135.60641,13.884197,18.619251,9.637512,213.12677,23.2517,19.18395,28.64728,443.76282,25.201876,22.046545,30.401924,278.4629,22.833971,18.276478,28.16491,165.27672,20.802746,16.842838,25.702606,437.77203,20.55314,15.848522,26.069197,157.40346,21.537498,15.891475,27.365185,372.35806,23.815613,18.900066,28.216803,344.41815,23.031828,18.622454,28.675312,179.721,29.0,21.0,79.8,30.0,21.0,103.4,30.0,20.0,14.8,29.5,21.0,33.350006,30.0,21.0,21.800003,30.0,21.0,38.5,30.0,20.0,39.7,27.0,19.0,2.3000011,28.0,21.0,4.199999,8.0,21.0,39.600002,8.0,20.0,57.7,3.0,13.0,71.9,5.0,17.0,69.0,9.0,20.0,127.0,18.0,28.0,216.0,20.0,30.0,318.1,17.0,27.0,167.9,18.0,28.0,293.0,15.0,25.0,156.0,16.0,26.0,230.7,16.0,25.0,266.5,18.0,28.0,164.7,01-May-1960,0.0,23.33,-1.09
24.720383,26.85322,22.465149,58.085464,25.12513,29.672478,21.310839,35.36092,24.465914,30.547289,20.366295,2.8102195,24.708399,29.462088,21.154993,61.11504,24.959156,30.20955,21.359636,-25.61879,24.814228,30.326775,21.532665,27.252882,24.403416,28.35925,20.262367,46.671806,24.708794,27.086231,21.66545,12.846913,22.891382,26.98308,19.959656,8.702089,14.819375,21.62319,9.116942,32.739395,14.557907,20.434122,9.229659,50.57976,9.993126,16.345505,4.7321115,123.36676,11.706473,17.744068,5.5309806,65.93963,13.658831,18.434929,9.66346,224.5945,23.125984,18.75871,28.371408,443.2572,24.86214,21.468346,29.948317,241.4611,22.453064,17.948385,27.753567,134.83366,20.524075,16.416473,25.57354,388.13675,20.363281,15.581157,25.944378,148.24797,21.293127,15.402853,27.343903,344.11902,23.681082,18.543581,28.163996,293.94174,22.71956,18.246653,28.424088,136.83037,29.0,20.0,48.3,29.0,20.0,40.69999,29.0,20.0,3.900001,28.5,20.0,10.850006,29.0,20.0,6.9000006,29.0,20.0,6.2000012,29.0,19.0,7.7000012,25.0,18.0,3.7999992,26.0,20.0,4.6000004,8.0,21.0,9.900002,7.0,20.0,11.200001,2.0,13.0,34.7,4.0,17.0,17.9,8.0,19.0,68.799995,18.0,28.0,134.0,20.0,29.0,282.4,16.0,26.0,66.700005,17.0,27.0,154.80002,15.0,25.0,85.7,16.0,25.0,136.10002,15.0,25.0,150.8,17.0,28.0,72.200005,01-Jun-1960,0.0,21.71,-1.41
24.653837,26.487965,22.552307,72.977005,24.981926,29.902655,21.428057,-7.7005177,24.275654,29.82938,20.3375,-0.3729775,24.432417,29.164314,21.135084,58.283943,24.887098,29.556437,21.54823,-19.288834,24.587358,30.091257,21.153019,16.038275,24.178648,28.39633,20.121881,31.870392,23.887444,25.853804,21.00035,7.6491747,22.184788,26.02344,19.431982,6.141432,14.812055,21.740456,8.9437475,33.54664,14.452593,20.490747,9.181469,78.90589,9.5990925,15.495276,4.3479347,136.66951,11.43285,17.625021,5.263052,87.72275,13.5458355,18.085049,9.526232,330.08557,22.968578,18.585428,28.414026,483.81952,24.536524,21.050472,29.816528,256.44873,22.207582,17.734356,27.345257,146.47804,20.36336,16.25021,25.558859,394.43814,20.287767,15.688605,26.087381,137.96983,21.125975,15.332104,27.431227,292.8439,23.637016,18.361753,28.06274,315.8851,22.295961,18.204039,28.011366,157.19362,28.0,20.0,111.0,28.0,20.0,122.8,29.0,19.0,8.899997,28.5,20.0,20.470001,29.0,20.0,12.199996,28.0,19.0,15.999996,28.0,19.0,22.099995,24.0,17.0,11.5,25.0,18.0,9.800001,8.0,22.0,16.599998,7.0,20.0,32.100002,2.0,12.0,181.3,4.0,17.0,51.8,9.0,19.0,333.9,18.0,28.0,481.3,19.0,29.0,317.9,16.0,27.0,266.1,17.0,27.0,653.1,15.0,24.0,353.2,16.0,25.0,483.6,15.0,24.0,539.9,17.0,28.0,239.6,01-Jul-1960,0.1,20.64,-1.32
24.447437,26.285004,22.323784,18.07454,25.005253,30.146296,20.990198,17.450224,24.336954,30.408802,20.354795,4.4986424,24.794899,30.166128,21.139885,91.95249,24.97885,30.346458,21.107258,-28.961777,24.755333,30.63702,21.140707,12.588652,24.193968,28.994652,20.143679,33.61663,22.147877,24.033833,19.388784,9.235736,21.354845,25.392101,18.981339,4.7852535,15.0467415,22.177834,8.8829,28.974495,14.915102,21.559742,9.413204,69.52873,9.692266,15.854118,4.2869644,94.26193,11.819592,18.370779,5.0861197,91.952126,13.498534,18.512144,9.275073,304.0631,23.331957,18.610111,29.04653,402.58893,25.174728,21.039003,30.781746,196.60219,22.190561,16.942347,27.74722,108.515564,20.75589,15.947183,26.644876,327.19363,20.390705,15.349188,26.56776,116.68351,21.499392,14.329472,28.35022,260.99625,23.94702,17.974934,29.1296,233.66908,22.501648,18.10698,28.473192,128.80925,28.0,20.0,43.8,29.0,20.0,48.1,30.0,19.0,9.599999,29.5,19.25,6.7000046,30.0,19.0,6.7000036,29.0,19.0,1.9000056,29.0,19.0,0.8999981,23.0,15.0,6.800001,25.0,17.0,3.6000004,8.0,23.0,12.799999,7.0,22.0,25.7,2.0,13.0,77.200005,4.0,18.0,40.699997,8.0,20.0,155.6,18.0,29.0,175.6,20.0,31.0,238.8,17.0,27.0,146.5,17.0,29.0,268.2,15.0,26.0,173.7,16.0,26.0,242.4,15.0,26.0,278.2,18.0,29.0,145.1,01-Aug-1960,0.2,19.99,-1.02
24.286713,26.32506,22.330307,16.02475,24.973152,30.07539,20.687664,29.018759,24.309912,30.623312,20.337364,5.8322263,24.818743,30.446287,21.13468,91.28759,24.923126,30.570654,20.945902,-30.023567,24.823753,30.712399,21.119818,21.25414,24.183598,29.103855,20.077032,37.00199,22.25831,24.033705,19.564816,8.450524,21.117306,25.381989,18.715523,8.968328,15.145061,22.435518,8.874255,30.258444,15.058606,21.858103,9.335337,55.79256,9.831821,15.978425,4.7062516,74.33705,11.973304,18.694536,5.030791,82.074486,13.582859,18.682241,9.167357,277.566,23.46874,18.532852,29.218517,389.12766,25.2924,21.031094,30.928778,178.97354,22.216314,16.746487,27.98985,97.688126,20.892536,15.888401,26.730524,332.02438,20.389074,15.382162,26.739569,118.14601,21.614763,14.6156435,28.190855,286.98654,23.968723,17.913166,29.32636,218.49069,22.71891,18.0818,28.796947,125.561134,29.0,20.0,16.800001,29.0,20.0,15.799996,30.0,19.0,2.400001,29.5,19.0,2.5300064,30.0,19.0,1.8000022,29.0,19.0,0.89999795,29.0,19.0,1.7999996,24.0,15.0,6.1000004,25.0,17.0,4.3999996,8.0,23.0,10.400002,7.0,22.0,16.2,1.0,14.0,18.599995,4.0,18.0,17.800001,8.0,21.0,38.300007,18.0,30.0,70.9,19.0,31.0,197.3,16.0,27.0,39.799995,17.0,29.0,74.50002,15.0,26.0,42.800003,16.0,27.0,78.80002,15.0,27.0,83.900024,17.0,29.0,38.1,01-Sep-1960,0.3,20.46,-0.27
24.228052,26.395521,22.251003,29.677338,24.954668,30.089546,20.668957,40.78213,24.250414,30.251652,20.456787,5.816014,24.756105,30.424002,21.180624,83.69721,24.932615,30.527588,20.852524,-28.946465,24.8229,30.56288,21.171892,24.709517,24.144781,28.951641,20.184013,32.706757,22.01395,23.58385,19.110346,10.371606,21.146378,25.565165,18.75857,10.700428,15.058167,22.466263,8.873163,41.824837,14.816103,21.447218,9.222207,79.1468,10.321579,15.958557,5.142279,69.89609,11.886744,18.448101,5.162702,120.68312,13.770181,18.812006,9.011711,258.51102,23.532879,18.700514,29.450508,433.51093,25.511236,21.303875,30.999962,173.11194,22.663347,17.128279,28.795782,101.1957,21.11476,16.206491,26.917004,350.34244,20.414976,15.398377,26.990126,101.11653,21.72695,14.906457,28.104813,315.34402,24.111914,18.107706,29.403864,240.32796,22.946674,18.324268,29.093517,136.20119,29.0,20.0,34.699993,29.0,20.0,24.699991,29.0,19.0,5.7999988,29.5,19.0,4.2299957,30.0,19.0,3.4000008,29.0,19.0,2.000004,29.0,19.0,1.9000057,24.0,16.0,7.4000015,25.0,17.0,7.3999996,8.0,22.0,37.4,7.0,21.0,50.2,2.0,14.0,45.2,4.0,18.0,52.1,9.0,21.0,64.7,18.0,30.0,154.1,20.0,31.0,230.1,17.0,28.0,44.299995,17.0,29.0,138.7,15.0,26.0,66.8,16.0,27.0,130.7,15.0,27.0,147.3,18.0,29.0,50.5,01-Oct-1960,0.2,20.11,-0.91
