,metric,scaler,filter,num_clusters,score,scaled_score
0,silhouette,None,"('T_AVG_EH',)",2,0.7372910546874571,0.9532567461211222
1,calinski_harabasz,None,"('T_AVG_EH',)",2,1093307.8252549719,0.0
2,davies_bouldin,None,"('T_AVG_EH',)",2,0.38423539834052983,0.02510263790888112
3,cdbw,None,"('T_AVG_EH',)",2,0.1710745114644977,1.0
4,silhouette,None,"('T_AVG_EH',)",4,0.5529108456579477,0.47050233689451726
5,calinski_harabasz,None,"('T_AVG_EH',)",4,1407662.5300087396,0.19132439609282492
6,davies_bouldin,None,"('T_AVG_EH',)",4,0.5595883814256455,0.4137366521044179
7,cdbw,None,"('T_AVG_EH',)",4,0.1304877338998996,0.6547718477636764
8,silhouette,None,"('T_AVG_EH',)",6,0.5435595158905939,0.4460181707191794
9,calinski_harabasz,None,"('T_AVG_EH',)",6,1888851.0250285417,0.484188147849273
10,davies_bouldin,None,"('T_AVG_EH',)",6,0.5641822788717573,0.4239180859977807
11,cdbw,None,"('T_AVG_EH',)",6,0.09835157535534027,0.38142404091564547
12,silhouette,None,"('T_AVG_EH',)",8,0.5026593091210341,0.3389309987270662
13,calinski_harabasz,None,"('T_AVG_EH',)",8,2179434.741552432,0.6610449062740907
14,davies_bouldin,None,"('T_AVG_EH',)",8,0.5982514338878028,0.4994253983981001
15,cdbw,None,"('T_AVG_EH',)",8,0.07975941185844543,0.22328046226141868
16,silhouette,None,"('T_AVG_EH',)",10,0.4853931229429329,0.29372371996391144
17,calinski_harabasz,None,"('T_AVG_EH',)",10,2384958.118282266,0.786131743980541
18,davies_bouldin,None,"('T_AVG_EH',)",10,0.6335459512475756,0.5776484757549567
19,cdbw,None,"('T_AVG_EH',)",10,0.06789888702579049,0.12239570820540785
20,silhouette,None,"('T_AVG_EH',)",12,0.4596420841284828,0.22630093312971467
21,calinski_harabasz,None,"('T_AVG_EH',)",12,2451062.8926710244,0.8263648177902309
22,davies_bouldin,None,"('T_AVG_EH',)",12,0.6677303200568604,0.6534111359581452
23,cdbw,None,"('T_AVG_EH',)",12,0.06212672862374667,0.07329815232328968
24,silhouette,None,"('T_AVG_EH',)",14,0.4444640572511403,0.18656098795357978
25,calinski_harabasz,None,"('T_AVG_EH',)",14,2546503.7051694584,0.8844525624230798
26,davies_bouldin,None,"('T_AVG_EH',)",14,0.7216302767386203,0.7728693633669719
27,cdbw,None,"('T_AVG_EH',)",14,0.057763133359649325,0.03618173115056045
